data,category
"Organization: NatWest Bank (Formerly Royal Bank of Scotland), Gurgaon July 2016-Sept 2020
Treasury Risk Lead (Team Manager), Financial Risk & Analytics
Responsible for implementing an effective end-to-end stress testing process and control framework across key
Stress Testing functions for RBS legal entities, in depth focus on controls reporting of FP&A, Capital forecasting,
Treasury, Liquidity (ALM), Leverage exposure, Strategic management actions, Tax, Credit risk and Risk Modelling.
Responsible for review financial and regulatory requirement including basis of preparations, process flowcharts,
process narratives, risk identifications, design controls matrix, controls assurance, controls testing, EUDA,
models, regulatory methodology and stakeholder's sign off.
Responsible for collaboration with internal and external auditors on the quarterly annual controls testing plan and
provide support to them to ensure timely completion of audit exercise/SOX 404 assessment and SOX effectiveness
testing and facilitate the results to senior management.
Responsible for data enrichments to drive resolution of data quality issues in aggregation of EAD, RWA, EL,
impairments, assets classes, etc. by working with various stakeholders (Finance system, business team, technology).
Responsible for reviewing and support in consolidation of the PRA Stress testing (STDF) templates, ICAAP (PRA
111template) and EBA stress testing data templates and perform controls & checks.
Responsible for update the process and controls documentations for IFRS 9 actuals & projections and controls
review which should be implemented around the process.
Responsible to participate in impact assessment, disclosure requirements, review of regulatory guidance and
methodology provided for IFRS 9 implementation.
Responsible for performing the initial assessment of model documents including stress testing PD, LGD and IFRS 9
models and compliance status of SS3/18 model risk management principles for stress testing.
Responsible for deliver bank wide policy and mandatory procedures for the governance and controls of model risk
management. Design, collate, maintain the aggregated stress testing model inventory.
Working as second line of defense of stress testing team to write opinion on model risk managements findings in
process documentations, minimum standards, principles and policies.
Participate in the annual ILAAP and ICAAP process, controls, basis of preparation (BOP), capital input consolidation, and
review & challenge, the assumptions.
Working closely with the treasury forecasting team to provide second line oversight in the capital inputs, liquidity
strategy, capital planning and recovery action plans related to stress testing.
Perform controls break analysis using KPMG checker tool for EBA submission and VART analytical tool for
STDF submission based on regulatory rules, interpretations, methodology and guidance.
Responsible to perform review of Pillar 3 disclosures, regulatory submissions, a proper governance, reconciliations,
continuous process improvements, controls and documentation.
Responsible for preparing papers which explains drivers for the movement in CET1 Capital & Leverage ratio,
Liquidity Coverage Ratio to senior management for e.g. Board Risk Committee and Board.
Responsible for franchises engagement including recovery planning team for aggregation of Stress Testing results,
strategic management actions, engage with option owners, communicate regulatory guidelines, BOP document,
review & challenge meeting and perform controls assurance.
Responsible for work with option owners assess materiality of recovery actions in the scenario(s) and discuss if
any actions which negatively or immaterially impact the CET1 ratio.
Responsible for design stress testing process, identify risk and set quantitative & qualitative controls along with
appropriate MI to ensure reasonableness and robustness of the stress testing outputs.
Managing seniors' stakeholders' and governance committees' expectations on process update, change
management projects and provide timely updates on issues/escalations.
Support on regulatory requirements asked by PRA/EBA, RST-Reverse Stress Testing, BOP automation, EUDA,
BCBS239, STDF template, RWA optimizations and Model Risk etc driven adhoc projects.
Responsible for tracking on self-assessment of compliance status of stress testing framework against the BCBS
principles to identify gaps and progress on remediation to date.
Responsible for maintaining governance framework, controls testing document evidences, and independent
validation ensuring compliance with BCBS 239 stress testing principles.
Provide inputs for governance paper on the update of compliance status on BCBS 239 stress testing principles.
",Work_Experience
"August 2014 to July 2016
",Work_Experience
"Organization: HSBC, Gurgaon
Assistant Manager, Group Regulatory Reporting
",Work_Experience
"In HSBC GFC, being a part of Group Regulatory change management Team, accountable for performed controls &
check of COREP - FINREP Reports and STDF template with responsibility of liaising business team for all HSBC
Defined and Regulators Defined controls checks.
Responsible for single handed manage the Operational Monitoring of BASEL reporting's, Group Solvency & IP
Losses consolidation and reporting.
Actively involve and working on COREP adjustments, STDF Reporting-PRA stress testing process and EBA
Transparency exercise- EBA stress testing process.
Responsible for preparation, consolidation & delivery of monthly/quarterly/ annual controls-checks packs for
regulatory submissions and MI packs for senior management for review & sign off.
Perform Quarterly Validations & Reconciliation of COREP FINREP Returns controls and checks based on SA &
IRB approach very accurately and efficiently.
Perform review of Pillar 3 disclosures, regulatory submissions, a proper governance, reconciliations,
continuous process improvements, controls and documentation.
Responsible for annual submissions of projections in baseline scenario (TO) and stress scenario (T0+) and other
unstructured data requirements by PRA/EBA.
Responsible to perform detailed analysis on breaks, variances, provide commentary and follow up on the closure of
issues/open queries.
Responsible for data enrichments to drive resolution of data quality issues in EAD, RWA, EL, impairments, assets classes,
etc. by working with various stakeholders (Finance system, business team, technology).
Responsible for improvements in the processes and controls relating to existing PRA reporting and performing
other various ad hoc tasks like regulatory submission etc.
Experience of working on UAT of Hyperion Financial Management base system RCT, Qlik View, SARACEN
(Reporting, consolidation and data extraction tool) for preparation and analysis of Financial Statements and Notes
to the accounts including IFRS 9 implementation.
Responsible to participate in impact assessment, disclosure requirements, review of regulatory guidance and
methodology provided for IFRS 9 implementation.
Ensure enhancement of financial reporting system and proactively involve in the requirement analysis, design,
planning, execution, UAT and control mechanism.
Responsible for MIS reports showing trend analysis, consolidation, variance analysis, reconciliations, validations
and MI review packs.
Being a part of Group change management team, working on adhoc regulatory requirements by PRA Reporting,
EBA reporting, UAT Process, XBRL Reporting, EUC process activities, STDF, RWA.
Liaise with auditor (internal & external) and responding to their queries.
",No_Label
"Organization: Fujitsu Consulting India, Noida
",Work_Experience
"April 2011 to August 2014
",Work_Experience
"Subject Matter Expert, Financial & Regulatory Reporting Group
",Work_Experience
"Worked on corporate experience as preparer and reviewer of Financial, Regulatory reporting and
disclosure requirements in US GAAP, Indian GAAP, and UK GAAP & UK IFRS.
Exposure of USGAAP Taxonomy and IFRS Taxonomy for different filling ex: -10-K, 10-Q and 20-f
(Quarterly, annually and foreign filler) and its filing with US-SEC.
Financial reporting based on UK HMRC mandatory requirements that include preparation of financial reports, quality
review, validation and final data submission;
",No_Label
"Functional experience in Finance transformation projects in any of the phases i.e. requirement gathering,
plan, design, test and implementation of GL to FR using company specific COA.
Actively support in various projects like Financial Reporting & Consolidation, General Ledger, Chart of
Accounts Framework, IFRS, BASEL and COREP-FINREP and XBRL conversion.
Functional experience in XBRL software implementation projects in any of the phases i.e. requirement
gathering, plan, design, test, documentation and implementation of GL to FR report.
Collaborate with UK and US team to resolve issues related to the financial statements’ preparation;
Direct interaction with Management and delivers multiple Government Regulatory Projects
simultaneously like MCA, ICAI, SEBI and RBI, Internal & External Auditors.
Carry out project progress and status reviews, and approved corrective actions.
",No_Label
"June 2010 to April 2011
",No_Label
"Organization: Aptara Corporation Inc, New Delhi
Senior Finance Executive, Financials Production Group
",Work_Experience
"Detailed Analysis and preparation of financial statements for clients like Commercial, Banking,
Insurance, & hedge funds. Also, its filing with US Securities and Exchange Commission.
Strong experience in preparation of XBRL end to end reporting and Migration Report for IFRS.
Provide training about types of industries, filling type, meaning of each tag of US GAAP taxonomy, use of
different US GAAP members to distinguish similar tags, validation rules, SEC information and all such
useful guidance related to XBRL.
Detailed analysis of financial statements and tracing out the relevant information, fact, figures from 10-Q, 10-K, 20-F, 6-K and 8-K reports and assigning appropriate elements through mapping of US-GAAP
Taxonomy and IFRS Taxonomy.
Provide effective resolution to client queries and improve relationships with the clients by anticipating
future requirements, thereby ensured a positive client experience.
Worked on multiple XBRL projects at the same time and managed client relationships and met deadlines
effectively.
Exposure of USGAAP Taxonomy and IFRS Taxonomy for different filling ex: -10-k, 10-9 and 20-f
(Quarterly, annually and foreign filler) and from perspective of its filing with Securities and Exchange
Commission (SEC).
Ensure Manage responses to queries from clients, auditors and regulators.
",No_Label
"References and any further information may be provided on request.
Declaration: The above information provided by me is true to the best of my knowledge.
",No_Label
"Date: January 2021
",No_Label
"(Signature)
Shiv Ahluwalia
",No_Label
"Harshit Gupta
AVP - Financial Risk & Analytics
harshit.gupta86@gmail.com +91-9015823828 in www.linkedin.com/in/harshitgupta86/
",Personal
"PROFILE SUMMARY
",No_Label
"Self-driven, motivated, change-ready, critical thinker & detail-oriented professional with 12+ years of
experience in the area of Finance & Risk, specialized in modeling & analytics and regulatory compliance. Good
knowledge of regulatory frameworks & guidelines of Basel, IFRS, PRA, EBA, CBI etc
",No_Label
"SKILLS
",No_Label
"Risk Management
Credit Risk, Operational Risk
",Skills
"Model Validation
",Skills
"Analytics
",Skills
"Predictive Modeling
",Skills
"SAS
",Skills
"Machine Learning
",Skills
"Python
",Skills
"MS Office
Excel, PPT, Word, Visio. Access
",Skills
"Organisational Skills
",Skills
"Change ready
",No_Label
"Team management
",Skills
"Collaboration
",Skills
"Innovative Thinking
",Skills
"Delivering Change
",Skills
"PROFESSIONAL EXPERIENCE
",No_Label
"01/2015 - present
Gurugram, India
",Work_Experience
"Natwest Group (RBS)
AVP - Financial Risk & Analytics
Currently managing Model Development & Maintenance for Wholesale & Retail
portfolios
Worked on model monitoring and validation as well & presentations to senior
stakeholders
Capital Impact assessment of regulatory and strategic changes like COVID-19,
IFRS16, LIBOR transition etc
Regulatory submissions like TRIM, CRR, P3, BOE, GCD
Develop & Maintain model related documentations, standard & policies
Collaboration with various stakeholders for model acceptance & feedback
Performed RCA, IA and BCP for India modeling unit
",Work_Experience
"12/2009 - 01/2015
Mumbai / Gurugram,
India
",Work_Experience
"Bank of America
Team lead - Credit Product & Pricing
Risk Analytics for Consumer real estate (CRES) portfolio
• Model validation & monitoring of CRES portfolio
Financial modeling of CRES portfolio to forecast P&L and Balance sheet
• Modeled asset and mortgage-backed securitization transactions to determine the
periodic pay-outs
• Handled internal reporting & external reporting as well
• Documentation of standard & policies and keep them up to date
",Work_Experience
"02/2008 - 12/2009
Mumbai, India
",Work_Experience
"Aditya Birla Group
Senior Officer - Finance
• Financial modeling to forecast Profit & Loss with regular adjustments
Prepare monthly Financial statement with working capital positions
Project Valuation & planning of new store roll-outs
",Work_Experience
"06/2007 - 08/2007
Thane, India
",Work_Experience
"NRB Bearings LTD
Summer Intern
• Cost benefit analysis of plant activity
Scrap valuation and identification of non value added activities
",Work_Experience
"EDUCATION
",No_Label
"2020
",Education
"IGNOU
MA - Economics
",Education
"2008
",Education
"Tilak Maharashtra University Pune
MBA - Finance
",Education
"2006
",Education
"C.S.J.M. University Kanpur
B.Sc. - Mathematics & Statistics
",Education
"CERTIFICATES
",No_Label
"Global Association of Risk
Professionals USA - GARP
Financial Risk & Regulations
",No_Label
"Indian Institute of Banking &
Finance - IIBF
Quantitative Methods for Banking &
Finance
",No_Label
"Toastmasters International
Level 1 - Effective Coaching
",No_Label
"INTERESTS
",No_Label
"• Text Analytics
",No_Label
"Robotics & Automation
",No_Label
"Deep learning
",No_Label
"Guitar & Singing
",No_Label
"• Cycling
",No_Label
"• Mythology
",No_Label
"• Meditation
",No_Label
"REFERENCES
",No_Label
"Available on request
",No_Label
"STHITHAPRAGNYA SHENOY
",Personal
"106Y, Srinivas, 1st Floor, 4th Main Road, 7th Block, Banagirinagar, BSK-3rd Stage, Bangalore, India
Pincode - 560085 | Ph: 091 9008754979 | Mail: sthithapragnya91@gmail.com | DOB: Nov 20, 1993
",Personal
"SUMMARY:
",No_Label
"Finance professional with about 3 years of excellence in trading process, having deep interest for risk
management, motivated by strong desire to learn every day and deploy acquired skills productively
and efficiently, accompanied with effective reporting and presentation.
",No_Label
"SKILLS:
",No_Label
"Expert level trading/ order book operations
• Well versed in Exchange Traded Derivatives
• Knowledge of OTC Derivative Products
• Risk management - Trading Process
Data Visualization and reporting
",Skills
"Process automation
Financial Statement Analysis
• Statistical Data Analysis
• Python Programming & Excel
Portfolio Analysis and Accounting
",Skills
"EXPERIENCE:
",No_Label
"Senior Trading/ Order Book Specialist | Sept 2016 - April 2020
Anmol Como Broking Pvt. Ltd. – Bangalore, India
Sold stocks, bonds and mutual funds to Retail and HNI clients.
Monitored leverage limits of clients and reported unusual activity to Senior Management.
Made timely margin calls and ensured adherence to regulatory requirements and firm's internal
risk policy.
Implemented timely close-out of positions in case of non-compliance with regulatory framework.
• Familiarized with latest regulations with respect to leverage/ funding, margin requirements, trading
in restricted securities, settlement process etc. and effectively communicated the same to Senior
Management and clients.
Analysed credit risk arising from client's margin-trading activities and reported the same to Senior
Management along with defaulter's report.
• Conducted in-house research and investment strategy development
Monitored market and related data to reinforce investment recommendations.
",Work_Experience
"EDUCATION:
",No_Label
"BCOM: Finance
IGNOU - Bangalore, India | June 2019
",Education
"CERTIFICATIONS:
Financial Risk Manager - Certified by the Global Association of Risk Professionals | Feb 2020
NISM Series 8, 15 | March 2017, Feb 2019
",No_Label
"SANTHOSH KUMAR BHAWARLAL
Mobile: +91 95000 42098 (Chennai)/Email: skb976@gmail.com
",Personal
"Seeking senior management level assignments in Risk, Compliance, Business Continuity Plan and Company
Secretarial Function
",No_Label
"EXECUTIVE DIGEST
",No_Label
"A competent professional with total 21 years of experience in areas of Company Secretary, Operational Risk
and Compliance
► Fellow Member of the Institute of Company Secretaries of India (ICSI)
→ Presently associated with Guardian India Operations Private Ltd as Head – Risk and Compliance
► Proficient at managing teams for running successful Company Secretarial function, Operational Risk and
Compliance framework & experience of developing/implementing policies, procedures, service standards for
business excellence.
Strong analytical & organizational abilities with adeptness in formulating Policies under Corporate
Governance/Compliance framework including overseas compliances and training.
→ Deftness in monitoring deliv of high-quality services and value addition to the business/opera
ns, Board
of Directors, Shareholders and Joint Venture partners, while adhering to the Rules, regulations, legislations,
policies and frameworks derived both internally and externally.
→ Domain knowledge in the field of Company Secretary, Indian Compliances and Operational Risk Framework.
> Possess proactive attitude, capability to think in & out of the box.
→ Excellent interpersonal, communication and organizational skills with proven abilities in team management
and stakeholder relationship management comprising of Directors, Shareholders, Regulators, Auditors and
Operational teams.
> Strong understanding of the regulatory framework in India and corporate laws
Certifications:
1) Certified ISO 27001:2013 Lead Auditor for Information Security
2) DSCI Certified Privacy Lead Assessor (DCPLA©).
",Skills
"PROFICIENCY FORTE
- Operation Risk Management - Compliance Management - Corporate Governance/Company Secretarial
- Statutory Compliance - Audits/ Systems Implementation - ISAE 3402 Audit
- Process Transition / Migration - Team Management
- Regulator Management
",Skills
"ORGANISATIONAL EXPERIENCE
",No_Label
"October 2016 till date - Head of Risk and Compliance -Guardian Life Insurance Corporation of
America's subsidiary in India- Guardian India
",Work_Experience
"Reporting to Chief Executive Officer with matrix reporting to 1) Head of Ethics and Chief
Compliance officer and 2) Head of Operational Risk in US
",Work_Experience
"Key Deliverables:
Act as a strong 2nd Line defence for India and closely work with 1st Line defence of Business/Operations and
3rd Line of defence of Internal Audit.
Responsible to set up India risk committee including conducting and agenda discussions. Participation in
global wide exercises relating to Operational Risk mitigation and constructive role for the entity
Lead to maintain the Business Continuity Plan, in close coordination with business
Centre of Excellence (COE) set up for of IT and information security systems and risk management controls,
closely working with US Teams (team of 7, with expansion to 12 by 2020)
",No_Label
"Responsible for Annual Risk Assessment exercise, both from Operational risk and Internal audit which leads to
challenging and establishment of operational risk systems, controls and analysis.
Coordinate with various stakeholders to ensure that India Regulatory Compliance assessment and tracking is
done, escalate any non-compliances. For US Laws deal with US stakeholders as an enabler for India.
Closely work with US Teams in the development and maintenance of operational risk management
frameworks and standards.
Responsible for risk, compliance, Information Security and Business Continuity Program for two locations.
Key Leadership team member and committee member of Prevention of Sexual Harassment (POSH).
Setting foundation for Centre of Excellence Framework for Compliance, Operational Risk, Third Party Risk
Management in India. Currently 05 Members team in India.
Co-ordination with all the Operational Risk and Compliance teams of client for effective delivery of services
Advisory role in Transition and Governance calls
Participation and contribution in various governance calls and committees governing both at Company and
",No_Label
"process level
",No_Label
"Part of working group on Privacy Law Impact assessment viz., (California Consumer Privacy Act (CCPA),
General Data Protection Regulation (GDPR), Personal Data Protection Bill – India.
Successfully handled the BCP scenario of Covid 19 both at strategic and tactical levels.
",No_Label
"June 2014 to October 2016- Head of Risk, Compliance, Information Security and Business
Continuity- State Street HCL Services India- Chennai
",Work_Experience
"Reporting to Head of Operations and Board Member.
",Work_Experience
"Key Deliverables:
Responsible for risk, compliance, Information Security and Business Continuity Program for four locations
(India and Manila). Part of Second Line of Defence in Risk Framework.
Additional responsibility of Finance and Accounts risk area and Claims analysis due to operational errors.
Spearheading a team of 10 members (operational risk) and 15 members (Finance and Accounts Risk).
Ensure the client expectations are met in line with the contractual obligations
Business Continuity Management, Internal and External audit coordination, Monetary Authority of Singapore
(MAS) audits, ISAE 3402/SSAE audits, Information Security Audits and Client audits coordination and
closure of recommendations/issues.
Co-ordination with all the Operational Risk and Compliance teams of client for effective delivery of services
Advisory role in Transition and Governance calls
Implementation of best practices from State Street with respect to risk governance
Participation in global wide exercises relating to Operational Risk mitigation and constructive role for the
entity
Participation and contribution in various governance calls and committees governing both at Company and
",No_Label
"process level
",No_Label
"Certified ISO 27001:2013 Lead Auditor for Information Security
Business Continuity:
• Responsible for the execution of BC Plan for Chennai, Coimbatore, Pune and Manila (Typhoon prone city)
• Successfully handled and demonstrated minimum impact operations during December 2015 floods in
Chennai
• Part of simulation exercises conducted to assess the resiliency of the BC Plan
• Well verse with BC Plan documentation, Business Impact Analysis, BC Testing, Analysis, Challenging of
Recovery Time Objective (RTO) vs. Recovery Time Achievement (RTA), call tree testing supervision and
reporting
• Close coordination with Onshore BC Coordinators to ensure that the BC Plans are up to date and reflect all
changes
• Sign off of BC Plan, BC Testing Reports and BIA post review from Risk Management team
• Lead the exercise for Third Party Risk Management (at process/location level and very comprehensive)
involving BCP assessment for the Company
",No_Label
"June 2013 till June 2014 Head of Risk, Compliance and Governance
BPO Division of leading ITES Listed Company (Wipro Limited). Hyderabad (BPO/BFSI/Capital Markets
line of business)
",Work_Experience
"Reporting to Head of Account of one of the leading Capital Markets account.
",Work_Experience
"Key Deliverables:
Responsible for risk, compliance and governance function of the Capital market account (UBS)
Spearheaded a team of 06 members.
Ensure the client expectations are met in line with the contractual obligations
Close coordination between onshore and offshore stakeholders for risk, compliance and governance
management.
Part of the framework and subject to third party risk audit by UBS. These audits/risk assessments are
conducted by PwC at regular intervals, under supervision of UBS Contract Management Group (CMNG).
Wipro was required to comply with various controls covering below areas-
Any tasks performed offshore need to be approved
✓ Standard Operating Procedures (SOPs) covering all tasks performed offshore must be in place, up-to-date,
regularly reviewed and signed off.
Only applications and application profiles approved are to be used offshore. Offshore access must be regularly
reviewed and controls in place to prevent inappropriate access offshore.
All initiatives must be managed via KPIs / SLAs that are up to date, reviewed and signed off on a regular basis
Capacity models / MIS must be in place to review the capacity metrics for each process offshore in order to
determine if the vendors are utilized appropriately
✓ BCM arrangements must be in place, up to-date, regularly reviewed and signed off
Compliance of all policies relating to information security, physical security, operational risk, compliance
needs to be monitored and reported.
Vendor termination plans must be in place
Business Continuity Management, Internal and External audit coordination, Monetary Authority of Singapore
(MAS) audits, ISAE 3402/SSAE audits, Information Security Audits and Client audits coordination and
closure of recommendations/issues.
Co-ordination with all the Operational Risk and Compliance teams of client for effective delivery of services
Represent the BPO division capital markets on various platforms with respect to areas of Operational and
Compliance risk.
Major Attainments:
Successfully established Risk function in a third-party vendor environment (BPO)
Implemented Quality Assurance framework for the control design and operating effectiveness
Initiated risk culture environment with various measures
Contributed for strengthening audit, compliance and governance function
",No_Label
"August 2010 – May 2013 Company Secretary and Head of Compliance (Head of Operational Risk
Permanent Control till December 2012)
BNP Paribas Sundaram Global Securities Operations Private Limited., Chennai
",Work_Experience
"Reporting to Managing Director at Chennai and Head of Compliance at Paris.
",Work_Experience
"Key Deliverables:
Leading Operational Risk (till December 2012), Compliance and Company Secretary Function.
Spearheading a team of 02 members.
Ensuring to meet all the required Policies, Procedures, legislations related to the operations of the Company
and interacting with various business groups within the firm.
Responsible for all the Compliances under Companies Act with respect to conducting of Board Meeting,
Shareholders Meeting and necessary compliances in this regard.
Co-ordination with all the Operational Risk and Compliance teams (including the Central team in Paris) spread
over the Globe for effective delivery of services
Represent the Company on various platforms with respect to areas of Operational and Compliance risk.
Co-ordination for successful completion of ISAE 3402 audits and comply with the standards of evidence
requirements, expert in handling the audit both Type I and Type II Reports
",No_Label
"Major Attainments:
Successfully established and in the process of stabilizing Operational Risk Framework
Accolades from the Directors on implementation of various Compliance/Corporate Governance measures
Ensured effective and efficient interactions with Internal Audit Team during the Internal Audit Assignments of
the processes
Promoted to Assistant Vice President in March 2012, within short span of joining.
",No_Label
"Profile details at BNP Paribas:
",No_Label
"Company Secretarial:
Perform, monitor and co-ordinate corporate secretarial duties, governance issues and related matters including
organization and holding of regular directors' meetings, annual general meetings, documentation in
compliance with statutory and regulatory requirements, attending to requests and matters generally in relation
to organization and matters originated from offices in other regions.
Advise and provide training to senior management on general corporate and governance issues. Recommend,
maintain and coordinate for reshaping and implementation of good corporate governance framework and
practice.
Act as point person for all Company Secretarial matters when dealing with other entities of BNP Paribas Group
in India (Viz., Bank, Asset Management Company, Wealth Management etc.,)
Perform control function in ensuring internal control and policies relating to governance issues are followed
Participate in global and regional initiatives and projects on ad hoc basis representing the Company as and
when required
Perform paralegal services and advisory support relating to daily operation (primarily non-transactional)
including documentation and contract review (review of Service Level Agreements)
Develop regional practices and events calendar in relation to corporate secretarial matters
Collation and analysis of data in course of various budgeting and related financial/ HR exercises for Global
Compliance E.g. Budgets, Forecasts on benchmarking costs and headcount.
Managing the Board process viz. scheduling, convening Board Meetings, Shareholder Meetings and
Committee meetings like Risk Management Committee (RMC), Gratuity Trust Meetings etc.
Post-meeting implementation and follow-up
Corporate and Regulatory filings with Registrar of Companies.
Corporate Governance- policy formulation and advisory
Overseeing Corporate Secretarial team in managing authorization for officials, drafting power of attorneys,
delegation of powers, review of SLA etc.,
",Work_Experience
"Compliance:
Reporting into Head of Compliance - Paris (Functional), responsible to provide leadership for development
and delivery of Compliance framework, including Outsourcing and Data Protection/Privacy Risk
Ensuring effective Compliance oversight on all activities carried out by the Company. (including framing and
implementing of various policies related to Professional Ethics, Know Your Customer (KYC), Financial
Security, Conflicts of Interest, Whistle Blowing etc.,)
Providing advisory on regulatory requirements and policies to the business units.
Monitoring and testing the activities of the units to ensure that the units are complying with regulatory
requirements and policies and maintaining a record of such monitoring and testing.
Tracking changes in the regulatory requirements in the organisation and informing concerned units promptly.
Also updating the Risk Assessment for Compliance and implementing corrective actions.
Ensure that new hires are given training on the Compliance policies and procedures. Maintaining a record of
training. Attending to regulatory queries and reporting, in consultation with the relevant units.
Work closely with units and Control functions to identify potential issues and take prompt corrective actions.
Escalate potential issues to senior management, as appropriate.
Ensure that the Risk Assessment and other monitoring / testing programs / processes are carried out effectively
within Compliance.
Engage in reviewing new business initiatives and activities, and also periodic review of the activities of the
units.
Consultation to business on all aspects of Outsourcing, Privacy and global regulatory compliances.
",Work_Experience
